Professional, Scientific, and Technical Services
gyunggyung, Korea-Startups, legaltech
openlawteam, openlaw-core, legaltech
Open-Cap-Table-Coalition, Open-Cap-Format-OCF, legaltech
medelman17, blackstone-api, legaltech
accordproject, techdocs, legaltech
block42-blockchain-company, smart-wedding-contract, legaltech
jlawyerorg, j-lawyer-org, legaltech
davidawad, lobe, legaltech
codexstanford, techlist-frontend-web, legaltech
maastrichtlawtech, bsard, legaltech
mscarey, AuthoritySpoke, legaltech
puria, ksweb, legaltech
accordproject, models, legaltech
CoinCulture, claw, legaltech
ciarrocki, LibreLaw, legaltech
gsh199449, proto-summ, legaltech
officeanddragons, awesome-lawtech, legaltech
akarazeev, LegalTech, legaltech
SporosDAO, sweat-token, legaltech
captable, ocx, legaltech
civictech-India, Indian-Law-Penal-Code-Json, legaltech
lacuna-technologies, clerkent, legaltech
maastrichtlawtech, gdsr, legaltech
medelman17, socrates-api, legaltech
kaiservonarctic, Eviction-Fighter-Bot, legaltech
fanta-mnix, nlp-contract-analysis, legaltech
coastalcph, lexlms, legaltech
bockph, Legal-Sentence-Role-Classification, legaltech
maastrichtlawtech, law3027-advanced-legal-analytics, legaltech
markusbink, basisdokument-implementierung, legaltech
droid-f, fedlex, legaltech
fros1y, epo-download, legaltech
maastrichtlawtech, law3025-legal-analytics, legaltech
CodeForPortland, access2justicePDX, legaltech
LegalHackers, OER-VirtualForum, legaltech
DotDoug, TreatiseAI, legaltech
tekrajchhetri, GDPR_compliance_tool, legaltech
ocluse, LiquidSnow-archive, legaltech
maastrichtlawtech, lleqa, legaltech
kiersch, parse_ecli, legaltech
Addleshaw-Goddard, Blackstone-Web-API, legaltech
public-law, nevada-revised-statutes-parser, legaltech
mscarey, nettlesome, legaltech
CCALI, a2jviewer, legaltech
thejeswi, BobGoesToJail, legaltech
neelguha, legal-segmenter, legaltech
openjusticebe, ulegalize-workspace, legaltech
jurteam, mvp-smart-contract, legaltech
warut-vijit, law__--less, legaltech
christospi, glc-nllp-21, legaltech
CCALI, a2jauthor, legaltech
meaningfy-ws, lam4vb3, legaltech
africanlii, liiweb, legaltech
miltonbolonha, bolonhadev, legaltech
fros1y, patent-api, legaltech
medelman17, Blackacre, legaltech
openlawnz, openlawnz-research, legaltech
hueyy, law-archive-data, legaltech
MaxCunningham19, legal_spellcheck, legaltech
CCALI, a2jdat, legaltech
meaningfy-ws, lam4doc, legaltech
dylanhogg, legaldata, legaltech
SatoshiNextTechLab, MetaChain, legaltech
kuboon, elaws, legaltech
DanielFillol, CNJ_Validate, legaltech
sadiqabubakar526, ZOOM-CLONE, legaltech
bryanlammon, autocref, legaltech
dnlstronge, benefitscalc2, legaltech
stacks-ai, gcl, legaltech
x72y5e, legal_cluster, legaltech
parkerhancock, awesome-patents, legaltech
arunava-nandy, capstone_project, legaltech
rhuanbarros, jurimetria_justica_do_trabalho, legaltech
DanielFillol, Summary_Classifier, legaltech
Droidtown, LeA, legaltech
taymuur, AI-Based-Lawyer, legaltech
akinmaurice, LawyerUp, legaltech
bryanlammon, supra, legaltech
apoorv74, Kanoon, legaltech
wethepeopleonline, DragonBreath, legaltech
apoorv74, IKreporteR, legaltech
jnbdz, law-quickstarts, legaltech
NFS002, blokd-core, legaltech
PhilippTh, ris-API-wrapper, legaltech
morg-an, fair-work, legaltech
upalbhattacharya, indian-legal-dataset-preparation, legaltech
dnlstronge, pccalc, legaltech
MalinMnnikk, startupbootcamp, legaltech
transaction-microformat, transaction-microformat.github.io, legaltech
sirredbeard, DAP, legaltech
markshope, nctu-workshop, legaltech
icyJoseph, precisely, legaltech
diederikd, DeBrug, legaltech
billyotieno, haki-tech, legaltech
jakobetzel, epistemics, legaltech
diederikd, DeBrug2, legaltech
DAOlexa, womenw3mpower, legaltech
DanielFillol, AB2L_Crawler, legaltech
smartlawhub, legal_indicators, legaltech
legislatetechnologies, legislate-java, legaltech
41ow1ives, klaid, legaltech
UniCourt, enterprise-api-py-sdk, legaltech
cdrc1103, PatentClassifier, legaltech
kissge, kijitsu, legaltech
pedrodlafaria, civinexus, legaltech
ucllh, website, legaltech
samkas125, legal-sentence-classification, legaltech
rodmoioliveira, cnj, legaltech
kissge, kijitsu, legaltech
Spaghetti-coders, landing-page, legaltech
eugrus, gesetze-im-word, legaltech
galacticalex, frosdot, legaltech
ucllh, website, legaltech
samkas125, legal-sentence-classification, legaltech
rodmoioliveira, cnj, legaltech
ucllh, assets, legaltech
DanielFillol, Crawler_TRT04, legaltech
martynui, OGDL4M, legaltech
x72y5e, case_watch, legaltech
IsaacOlguin, DefenseAdvAttacks, legaltech
javaad101, Austerlitz, legaltech
hacking-law, legal-tech-center, legaltech
mabustillo14, legal-insight, legaltech
dawn-i, expunge, legaltech
eugrus, gesetze-im-shell, legaltech
CivicDataLab, POCSO_case_law_analysis, legaltech
Ninetta11, Witness, legaltech
Parentull, ResearchList, legaltech
alexlimatds, SemEval_2023_Task_6A, legaltech
ankane, awesome-legal, legal-documents
jackmorgan, the-plain-contract, legal-documents
sambacha, compendium, legal-documents
juro-privacy, free-privacy-notice, legal-documents
oprvc, oprvc.github.io, legal-documents
Gingernaut, Robot-Lawyer, legal-documents
Law-AI, semantic-segmentation, legal-documents
puria, ksweb, legal-documents
canokaue, nft-music-license, legal-documents
applicaai, contract-discovery, legal-documents
ciarrocki, LibreLaw, legal-documents
civictech-India, Indian-Law-Penal-Code-Json, legal-documents
Freedombase, meteor-legal-management, legal-documents
Thesharing, LFESM, legal-documents
kiersch, jura_regex, legal-documents
suhitaghosh10, EurLex-Multilabel-Classification, legal-documents
Tech-Ninjas-DIOX, front-entenda-direito, legal-documents
revoltchat, legal, legal-documents
bockph, Legal-Sentence-Role-Classification, legal-documents
fortrabbit, legal, legal-documents
lawndoc, dual-license-templates, legal-documents
lolibrary, legal, legal-documents
pedrom34, JurisMPortable, legal-documents
amarnamarpan, D2V-BiGRU-CRF, legal-documents
amarnamarpan, PSLEGAL, legal-documents
gskishan004, Document-Identifier, legal-documents
miltonbolonha, bolonhadev, legal-documents
christospi, glc-nllp-21, legal-documents
seq-code, seqcode, legal-documents
Mobius-strip, law_ner, legal-documents
Mobius-strip, law_ner, legal-documents
donfaq, legal-space-research, legal-documents
serlo, serlo.org-legal, legal-documents
erikqu, AI_LegalDoc_Hackathon, legal-documents
elenanereiss, bert-legal-ner, legal-documents
TheLawLibrary, holdings, legal-documents
perezzini, vinci, legal-documents
recaptime-dev, legal-policies, legal-documents
senisioi, rolegal, legal-documents
RiversideValley, Nightshade, legal-documents
DanielFillol, CNJ_Search, legal-documents
kornosk, GDPR-similarity-comparison, legal-documents
bandisast, sappho-pda-driver, legal-documents
ozgurg, ozgurgorgulu.com, legal-documents
fatihtuzunn, avvukat, legal-documents
GDalforno, Named-Entity-Recognition, legal-documents
SATYAJIT1910, ILDS, legal-documents
knmlprz, statut, legal-documents
DanielFillol, Summary_Classifier, legal-documents
askmuhsin, legal_maxims, legal-documents
law-design-colab-ctto, ontario-lease-wizard, legal-documents
boomalope, ltb, legal-documents
JANBOUBI-ABDERRAHIM, Classification-and-specification-of-maritime-zones-in-juridique-articles, legal-documents
AdrianNaranjo, Ordenanza-Emprendimiento-Cuenca, legal-documents
enricofer, barney_document_versioning, legal-documents
NFS002, blokd-core, legal-documents
Lassehhansen, Legal-NER, legal-documents
jina-ai, legal, legal-documents
AntoineAugusti, reponses-cada, legal-documents
milonimittal, Legal-Search-Engine, legal-documents
achen353, TransformerSum, legal-documents
nerun, lawhub, legal-documents
SorenTech, legal, legal-documents
ooguz, latex-tuzuk, legal-documents
rosaba, legal-decisions-recommender, legal-documents
qwertyu63, SOU-Licence, legal-documents
NDAify, ndaify-templates, legal-documents
stefsyrsiri, Legal-Data-Wrangling, legal-documents
FiIeWave, legal, legal-documents
theo9921, Privacy-Expert, legal-documents
NovaDevelopment, SoftLicenseGen, legal-documents
GurYN, BackToWork, legal-documents
IMS-Network, IMS-Legal, legal-documents
mariaviana21, comparative-evaluation-of-MT-with-legal-texts, legal-documents
UW-Law-Entrepreneurship-Clinic, Model-Operating-Agreement, legal-documents
PeterBrain, magento2-terms-conditions, legal-documents
Bugendaitech, sf-Quickbook-Integration, legal-documents
x72y5e, case_watch, legal-documents
ink-grafia, legal-documents, legal-documents
nuggxyz, legal, legal-documents
javaad101, Austerlitz, legal-documents
UW-Law-Entrepreneurship-Clinic, NonDisclosureAgreement, legal-documents
alexlimatds, victor-doc_classification, legal-documents
maxbundscherer, legal-notice-crawler, legal-documents
LGirrbach, Tuereuth-Legal-at-SemEval-Task-6, legal-documents
stryngs, emlParser, legal-documents
jblake1965, eluciDoc, legal-documents
Ninetta11, Witness, legal-documents
Parentull, ResearchList, legal-documents
akaunting, akaunting, payroll
ever-co, ever-gauzy, payroll
frappe, hrms, payroll
Devnawjesh, hr-payroll, payroll
AmitXShukla, Employee-Payroll-Salary-App-Angular-11-MEAN-Stack, payroll
highoncarbs, Hafta, payroll
notrinos, FrontHrm, payroll
Payroll-Engine, PayrollEngine, payroll
isaacdarcilla, payroll, payroll
cerebrus-sys, Employee-Payroll-System, payroll
helloKeyur, PayrollSystem, payroll
Zebec-protocol, zebec-sdk, payroll
KonosCL, addons-konos, payroll
cartertech, odoo-au, payroll
morghim, project-payroll, payroll
Hilmacs, Hilmacs-Advanced-School-Info-Management-System, payroll
HorusPay, eos-smart-contracts, payroll
iamjayk, Payroll-Management-System, payroll
NFhbar, Ethereum-Payroll, payroll
arman-bd, javafx-payroll, payroll
jitdxpert, payroll, payroll
IamPrime, payrollsystem, payroll
ajinkyadeshpande, mystartup, payroll
cmagarap, codeigniter-payroll-project, payroll
SPF-UiO, spbm, payroll
papertrail-ai, papertrail-ai, payroll
vinzvinci-archive, Starpayroll, payroll
weezykon, payroll, payroll
shankygupta79, Payroll, payroll
bpovea, stipendium, payroll
Angelfelix009, Payroll, payroll
gsbelarus, gdmn-bot, payroll
prasanna1987, weberp-responsive-with-HR, payroll
aydancoskun, FairnessTNA, payroll
amattu2, payroll-management-system, payroll
Lucifercompared, REDNAME, payroll
chirumist, php-mvc-payroll-system, payroll
Menporul, InstituteERP, payroll
ajcandelariaa, cplusplus-payroll-system, payroll
yash8005, Employee-Salary-Payroll-System, payroll
samweru-zz, payroll-ui-ng, payroll
torchice, payroll, payroll
bhargav-modha, Payroll-Management-System, payroll
optriment, web3-employment, payroll
eru123, py-payroll-calc, payroll
Francesco99975, WorkSchedule, payroll
ari, moneyworks-cli, payroll
praabindhp, Employee-Pay_Roll, payroll
orbanbotond, SimplePayroll, payroll
sirwilliam15, punchclock, payroll
BytesCrafter, erpat, payroll
EngrSaad2, Human-Resource-Management-, payroll
will-wow, ex-payroll, payroll
dev-iram, Payroll-System, payroll
assoft-portugal, wg-rh-pt, payroll
speakeasy-sdks, gusto-typescript-sdk, payroll
kkisiele, payroll, payroll
faisaliiuc36, Payroll-Management-App, payroll
nexys-admin, payroll-switzerland, payroll
R-N, sistem_gaji_vue_thrift, payroll
SarcasticGeek, payroll-csv, payroll
fxangulo, GenderPayGap, payroll
yan-hai, payroll-system, payroll
adityaharist, sistem-akuntansi-gaji-dan-upah-pegawai, payroll
andreseds, Nomina-Payroll, payroll
Lagstill, Payroll-Management-System, payroll
ashley194, HashCode_2, payroll
HeathLoganCampbell, DatapayApi-Models, payroll
HeathLoganCampbell, SimpleDataPaySDK, payroll
fgesora, openpayroll, payroll
dalla-vecchia, payroll_vba_excel, payroll
nimius-debug, JAG-forms, payroll
IntuitDeveloper, PayrollSamples, payroll
lagunadevs, hris, payroll
dimasrizkym, payna, payroll
fareskalaboud, DeltaOne, payroll
Pizza-King, payroll-timesheet-worksheet, payroll
smsalah, hourlywages, payroll
Antoine-Mace, tax-year, payroll
skrp, EMAIL, payroll
dere7, perago-test-project, payroll
minamin33, Payroll_calculator, payroll
sasangachathumal, SMSC-Payroll, payroll
alireza-saberi, employee-directory, payroll
navidnik, Payroll-software, payroll
ZSchweyk, ZTimeClock, payroll
mbqskrr, costs, payroll
aragonone, payroll-app, payroll
herrsmitty8128, PayrollCostingAudit, payroll
speakeasy-sdks, wingspan-python, payroll
dovu93, Solidity_Contracts, payroll
DilaShineNair, PayrollApplication, payroll
ameerilyas76, HCM, payroll
skrp, PR, payroll
SpookyGlitches, payroll-python, payroll
open-circle-ltd, chocolatey.dialogik, payroll
kamicase24, hr_ven_payroll, payroll
Calikidd86, PayrollProject, payroll
Hexadigital, tipsytoasty, payroll
mr-vaibh, python-payroll, payroll
eblanco92, discordTimeClock, payroll
thierryVergult, thierryVergult, payroll
coreyshift, MIS307, payroll
panigrahi96, PayRoll, payroll
MagicPlants, TruckerTimecards, payroll
intelops, oss-employees-management-guide, payroll
tapiocaPENGUIN, Employees, payroll
RNLIJB, AX_BI, payroll
m-primo, CPP-Simple-Payroll-App, payroll
sscons91, Shane-Swartz-Consulting, payroll
alexanderbean, billingprogram, payroll
speakeasy-sdks, wingspan-ts, payroll
leonardo-anjos, folha-de-pagamento, payroll
Lucas8x, payroll, payroll
Sammiiie, Wage-Management-System, payroll
andreas-yin, salary-statement-splitter, payroll
cityssm, node-avanti-api, payroll
handy-darmawan, Final-Project-RPA-UiPath_StudioX, payroll
adevait, hrm, hrm
Devnawjesh, hr-payroll, hrm
kmanjari, hrms, hrm
eporsche, daybreak, hrm
optimajet, HRM, hrm
pcolby, bipolar, hrm
glowlogix, gleamhrm, hrm
highoncarbs, Hafta, hrm
adumont, hrm-cpu, hrm
MusheAbdulHakim, Laravel-Smarthr, hrm
MusheAbdulHakim, Smarthr-hr-payroll-project-employee-management-System, hrm
isaacdarcilla, hrms, hrm
kerimkuscu, Human-Resources-Management-System, hrm
wasilolly, Employee-Payroll-with-laravel-framework, hrm
imrankst1221, HRM_Software, hrm
shamimcse1, Human-Resource-Management-Laravel, hrm
ArabHosters, humhub-modules-company, hrm
RaithSphere, NeosVR-Stuff, hrm
FleXoft, Polar-H7-HRM, hrm
feliperomero3, ApplicantTracking, hrm
sandflow, imscHRM, hrm
meshboy, forum-engine-api, hrm
kamalkishorm, hrm, hrm
prasanna1987, weberp-responsive-with-HR, hrm
TechForGoodInc, LimeHRM, hrm
Angelfelix009, Payroll, hrm
JoomCoder-com, JoomERP, hrm
KeruyCRM, KeruyCRM, hrm
Mouser-Electronics, Maxim-HR-BLE, hrm
Azimul-Haque, cvcs, hrm
Azimul-Haque, cvcs, hrm
lahiru-rajapakshe, Human-Resources-Management-System, hrm
Rahajustone, MiniHr, hrm
imcf, hrm-omero, hrm
nickbits1024, WaterRowerLinkPlus, hrm
lingqifei, flycrm, hrm
Tools4everBV, HelloID-Conn-Prov-Source-AFAS-Profit, hrm
NeuraXenetica, comport_ai, hrm
NeuraXenetica, synaptans-workforcesim, hrm
ymizushi, hrm-js, hrm
Dominic-github, HRM, hrm
winterthediplomat, hrm-interpreter, hrm
Sharifur, xghrm, hrm
EngrSaad2, Human-Resource-Management-, hrm
BartVertongen, BelgianSocialSecurity, hrm
winterthediplomat, hrm-compiler, hrm
wabson, hrm-gas, hrm
ohmygodvt95, OOP.HRM, hrm
netzrac, waterRowerClient, hrm
Tools4everBV, HelloID-Conn-Prov-Source-Loket, hrm
n9Mtq4, HRM2J, hrm
ochi1000, HR-Management-System-Multi-Tenant-, hrm
Tools4everBV, HelloID-Conn-Prov-Source-Paycom, hrm
FleXoft, Polar-H7-H10-HRMcli, hrm
jojohahana, eForm, hrm
Tools4everBV, HelloID-Conn-Prov-Source-UKG-Ready, hrm
CrewHRM, CrewHRM, hrm
Team-ELITES, thrm, hrm
audiz, p8_smartwatch_pio, hrm
Tools4everBV, HelloID-Conn-Prov-Source-PeopleInc, hrm
Tools4everBV, HelloID-Conn-Prov-Target-Raet-DPIA100, hrm
Tools4everBV, HelloID-Conn-Prov-Source-Visma.net-HRM-API, hrm
Tools4everBV, HelloID-Conn-Prov-Target-Freshservice-Employee-Onboarding, hrm
lgraziani2712, hrm-webpack-express, hrm
